,City,Country,Longitude,Latitude,Max. Temperature (C),Humidity (%),Wind Speed (m/s),Cloudiness (%)
0,Ushuaia,AR,-68.31,-54.81,3.0,86,3.1,18
1,Chuy,UY,-53.46,-33.69,16.11,85,3.84,23
2,Kirksville,US,-92.58,40.19,9.0,70,3.6,1
3,Khatanga,RU,102.47,71.98,-18.53,96,7.08,100
4,Grand Gaube,MU,57.66,-20.01,27.0,65,4.6,75
5,Dikson,RU,80.55,73.51,-5.73,94,8.43,100
6,Mar del Plata,AR,-67.52,-46.43,8.74,71,7.35,99
7,Busselton,AU,115.35,-33.64,27.78,33,5.55,15
8,Palmer,AU,139.16,-34.85,24.44,40,3.6,0
9,Vestmannaeyjar,IS,-20.27,63.44,7.95,77,15.29,25
10,Roros,NO,11.38,62.57,-10.0,100,0.5,100
11,Kodiak,US,-94.76,39.95,12.22,62,5.7,1
12,Betanzos,ES,-8.21,43.28,13.89,71,6.2,20
13,Yangjiang,CN,111.96,21.85,27.78,40,4.14,20
14,Nikolskoye,RU,30.79,59.7,7.0,93,5.0,75
15,Avera,US,-82.53,33.19,5.0,100,1.1,90
16,Chokurdakh,RU,147.9,70.62,-19.37,96,2.44,71
17,Geraldton,CA,-86.95,49.72,-10.0,85,1.5,90
18,Morehead,US,-83.43,38.18,7.0,48,4.6,1
19,Iqaluit,CA,-68.52,63.75,-14.0,84,7.2,75
20,Jamestown,AU,138.6,-33.21,24.34,13,4.4,0
21,Rikitea,PF,-134.97,-23.12,23.25,72,5.84,97
22,Bethel,US,-161.76,60.79,-3.0,85,6.2,90
23,Nanortalik,GL,-45.24,60.14,1.41,82,3.11,83
24,Kostino,BG,25.3,41.7,16.11,93,3.1,97
25,Carnarvon,ZA,22.13,-30.97,20.66,31,4.22,99
26,Pasaje,EC,-79.81,-3.33,21.29,85,0.75,100
27,Castro,CL,-73.76,-42.48,9.0,100,0.5,87
28,Lorengau,PG,147.27,-2.02,27.23,81,8.41,100
29,Victor Harbor,AU,138.62,-35.55,20.0,40,3.6,0
30,Hithadhoo,MV,73.08,-0.6,27.91,74,4.92,10
31,Sitka,US,-99.65,37.17,6.11,54,0.45,0
32,Cidreira,BR,-50.22,-30.17,21.36,91,7.92,99
33,Tahoua,NE,5.26,14.89,24.0,22,3.1,16
34,Guhagar,IN,73.19,17.48,26.44,67,1.59,0
35,Bredasdorp,ZA,20.04,-34.53,19.44,77,8.2,97
36,Preobrazheniye,RU,133.91,42.9,5.52,81,3.22,91
37,Vaini,IN,74.49,15.34,29.0,51,4.6,20
38,Port Hedland,AU,118.58,-20.31,42.0,9,6.7,64
39,Tiksi,RU,128.87,71.64,-27.05,99,1.36,79
40,Dingle,PH,122.67,11.0,29.85,66,1.61,32
41,Faya,SA,42.45,18.39,17.0,58,2.1,0
42,Mount Gambier,AU,140.78,-37.83,15.0,72,6.2,90
43,Avarua,CK,-159.78,-21.21,23.0,83,2.6,0
44,Barrow,AR,-60.23,-38.31,7.58,75,3.32,0
45,Bolobo,CD,16.23,-2.17,23.98,88,0.72,100
46,Puerto Ayora,EC,-90.35,-0.74,20.56,89,2.24,16
47,Bluff,AU,149.07,-23.58,32.05,9,1.33,15
48,Baykalovo,RU,40.26,64.58,-3.0,92,2.0,90
49,Ilulissat,GL,-51.1,69.22,3.0,32,9.3,80
50,Albany,US,-73.75,42.65,2.0,37,4.6,90
51,Samoded,RU,40.52,63.61,-1.89,97,2.33,100
52,Deputatskiy,RU,139.9,69.3,-26.09,100,0.78,99
53,Hermanus,ZA,19.24,-34.42,19.44,77,7.15,78
54,Umm Kaddadah,SD,26.69,13.6,24.43,18,7.36,73
55,Wicklow,IE,-6.42,53.0,3.89,96,2.1,40
56,Kanata,CA,-75.9,45.32,3.33,69,4.1,90
57,Hirara,JP,125.28,24.8,24.0,50,3.1,40
58,Atuona,PF,-139.03,-9.8,26.55,80,6.37,2
59,Cabo San Lucas,MX,-109.91,22.89,25.56,60,2.6,20
60,Kisangani,CD,25.21,0.52,24.97,81,0.88,47
61,Ostrovnoy,RU,39.51,68.05,-5.76,96,0.79,100
62,Jovellar,PH,123.6,13.07,29.08,72,4.87,53
63,Mastic Beach,US,-72.85,40.77,5.0,80,7.02,1
64,Butaritari,KI,172.79,3.07,29.62,60,0.61,86
65,Ippy,CF,21.2,6.26,23.7,65,1.21,88
66,Katherine,AU,132.26,-14.47,40.0,11,2.1,40
67,Punta Arenas,CL,-70.91,-53.16,2.0,69,1.5,33
68,Arraial do Cabo,BR,-42.02,-22.97,22.8,93,6.55,100
69,Mataura,NZ,168.86,-46.19,10.56,78,2.24,92
70,Los Llanos de Aridane,ES,-17.92,28.66,20.0,72,7.2,75
71,Paraguari,PY,-57.15,-25.62,21.0,94,2.1,100
72,Conceicao da Barra,BR,-39.73,-18.59,25.29,78,7.09,25
73,Amahai,ID,129.0,-3.31,28.35,73,2.73,63
74,Ponta do Sol,BR,-46.0,-20.63,19.6,92,1.25,100
75,Faanui,PF,-151.75,-16.48,25.39,83,5.24,100
76,Vostok,RU,135.83,46.45,-0.61,57,1.88,20
77,Smolenka,PL,22.76,54.15,6.41,93,2.68,97
78,Krasnyy Oktyabr,RU,38.88,56.12,4.02,92,3.42,98
79,Medvezhyegorsk,RU,34.47,62.92,1.05,99,1.41,100
80,The Valley,AI,-63.06,18.22,27.22,83,6.2,40
81,Cockburn Town,TC,-71.14,21.46,27.86,74,2.4,2
82,Buraydah,SA,43.97,26.33,22.0,88,7.7,75
83,Yurgamysh,RU,64.47,55.37,-5.73,67,2.33,38
84,Tuktoyaktuk,CA,-133.03,69.44,-14.0,65,6.7,5
85,Hilo,US,-155.08,19.71,26.0,78,1.5,1
86,Coihaique,CL,-72.07,-45.58,10.0,93,2.1,75
87,Lavrentiya,RU,-170.99,65.58,1.34,96,2.51,100
88,Cape Town,ZA,18.42,-33.93,18.89,82,3.6,79
89,Mkokotoni,TZ,39.25,-5.88,26.0,94,3.57,75
90,Upernavik,GL,-56.15,72.79,-8.89,67,1.25,75
91,Biograd na Moru,HR,15.45,43.94,12.22,100,2.6,75
92,Yancheng,CN,120.14,33.39,20.63,22,9.36,0
93,Marzuq,YE,46.47,14.4,23.69,32,0.39,0
94,Bilma,NE,12.92,18.69,23.58,16,3.18,0
95,Saskylakh,RU,114.09,71.97,-19.6,99,0.31,94
96,Kalmunai,LK,81.82,7.42,27.99,73,3.32,54
97,Finschhafen,PG,147.85,-6.6,27.58,73,3.08,100
98,Tasiilaq,GL,-37.64,65.61,3.0,69,16.5,100
99,Sola,TZ,33.8,-3.17,24.03,57,3.67,12
100,Norman Wells,CA,-126.83,65.28,-21.0,76,2.1,5
101,Villa Carlos Paz,AR,-64.5,-31.42,21.67,82,1.0,40
102,Byron Bay,AU,153.62,-28.65,25.0,33,5.1,90
103,Monte Alegre,BR,-54.07,-2.0,24.68,85,1.61,98
104,Kapaa,US,-159.32,22.08,24.0,83,2.6,90
105,Svetlogorsk,RU,59.15,53.14,-12.0,85,1.0,90
106,Padang,ID,100.36,-0.92,23.78,89,1.77,78
107,Matthews,US,-80.72,35.12,2.0,49,1.73,1
108,Georgetown,GY,-58.16,6.8,24.0,100,2.1,20
109,Antalaha,MG,50.28,-14.9,26.03,69,2.56,91
110,Namibe,AO,12.15,-15.19,25.04,77,1.81,26
111,Glendive,US,-104.71,47.11,-5.57,92,4.6,90
112,Aklavik,CA,-135.01,68.22,-12.0,46,1.0,5
113,Sarakhs,TM,61.16,36.54,10.0,53,1.86,0
114,San Cristobal,HN,-86.92,14.68,17.97,99,1.37,90
115,Chingirlau,KZ,54.08,51.09,0.99,62,3.57,100
116,Weston,US,-73.38,41.2,4.44,59,3.1,1
117,Kirakira,SB,161.92,-10.46,26.79,68,2.69,72
118,Souillac,FR,-0.6,45.6,6.67,87,2.1,37
119,Hope,US,-93.59,33.67,8.0,75,2.6,1
120,Noshiro,JP,140.05,40.21,9.0,70,3.6,75
121,Jacareacanga,BR,-57.76,-6.22,21.59,97,0.44,93
122,Sao Filipe,CV,-24.5,14.9,23.47,82,7.01,92
123,Severo-Kurilsk,RU,156.12,50.68,-1.46,84,8.76,93
124,Saint George,GR,22.34,39.45,13.0,100,0.65,75
125,Lompoc,US,-120.46,34.64,13.89,93,5.53,90
126,Tatvan,TR,42.28,38.5,9.0,80,2.41,0
127,Sistranda,NO,8.83,63.73,-4.44,79,3.6,40
128,Gimli,CA,-96.99,50.63,-11.11,80,2.68,61
129,East Angus,CA,-71.66,45.48,-1.0,54,2.6,90
130,New Norfolk,AU,147.06,-42.78,16.0,44,5.7,75
131,Palitana,IN,71.82,21.52,30.71,51,3.74,9
132,Haines Junction,CA,-137.51,60.75,-19.92,96,2.43,0
133,Tuatapere,NZ,167.69,-46.13,10.56,78,2.24,100
134,Klaksvik,FO,-6.59,62.23,2.0,69,1.0,87
135,Hobart,AU,147.33,-42.88,16.0,44,5.7,75
136,Ngorongoro,TZ,35.49,-3.24,21.75,63,1.99,52
137,Arles,FR,4.63,43.68,6.0,93,1.5,100
138,Saldanha,PT,-6.55,41.42,4.82,85,5.0,100
139,Carballo,ES,-8.69,43.21,13.89,71,6.2,20
140,Hofn,IS,-15.21,64.25,7.29,76,12.28,99
141,Oranjestad,AW,-70.03,12.52,28.0,83,6.2,20
142,Ribeira Grande,PT,-28.7,38.52,17.1,84,2.64,51
143,Luanda,AO,13.24,-8.83,27.0,78,2.6,75
144,Talnakh,RU,88.39,69.49,-27.0,75,2.0,40
145,Erenhot,CN,111.97,43.65,6.45,41,8.61,8
146,Honiara,SB,159.96,-9.43,25.0,94,1.0,75
147,Iracoubo,GF,-53.21,5.48,27.49,82,5.15,22
148,Kozulka,UA,23.8,50.04,8.0,100,3.0,90
149,Alyangula,AU,136.42,-13.85,35.0,23,5.7,19
150,Ryazanovskiy,RU,39.43,55.55,4.01,91,4.07,95
151,Kununurra,AU,128.74,-15.77,41.0,20,3.1,77
152,Cayenne,GF,-52.33,4.94,24.0,94,1.56,20
153,East London,ZA,27.91,-33.02,19.0,88,4.1,40
154,Nemuro,JP,145.57,43.32,5.0,48,3.1,40
155,Pisco,PE,-76.2,-13.71,17.0,82,3.1,28
156,Daman,IN,72.83,20.42,32.01,51,0.67,0
157,Ranong,TH,98.62,9.96,32.0,66,3.6,20
158,Mandalgovi,MN,106.27,45.76,2.61,28,8.13,0
159,Visnes,NO,5.22,59.36,1.67,92,0.5,75
160,Kiruna,SE,20.23,67.86,-21.0,76,2.87,0
161,Lashio,MM,97.75,22.93,26.67,55,1.05,43
162,Mitchell,US,-98.03,43.71,1.0,86,3.1,75
163,Fort Saint James,CA,-124.25,54.43,-12.21,85,2.8,100
164,Rudsar,IR,50.29,37.14,19.0,68,1.28,0
165,Keti Bandar,PK,67.45,24.14,28.25,24,5.83,7
166,Touros,BR,-35.46,-5.2,24.0,88,2.1,40
167,Sursk,RU,45.69,53.07,0.56,78,4.37,24
168,Buala,SB,159.59,-8.15,27.94,76,0.3,100
169,Mannarakkat,IN,76.47,10.98,30.0,66,2.6,75
170,Hasaki,JP,140.83,35.73,21.11,59,3.6,20
171,Salinopolis,BR,-47.36,-0.61,27.56,81,6.71,81
172,Santa Rosa,AR,-64.29,-36.62,14.35,63,3.43,50
173,Omsukchan,RU,155.8,62.53,-17.01,97,2.19,99
174,Karasburg,NA,18.75,-28.01,19.59,17,3.79,0
175,Cessnock,AU,151.35,-32.83,22.78,43,6.7,5
176,Namatanai,PG,152.44,-3.66,25.2,90,6.84,100
177,Kruisfontein,ZA,24.73,-34.0,16.8,86,7.08,97
178,Bambous Virieux,MU,57.76,-20.34,27.0,65,4.6,75
179,Sabzevar,IR,57.68,36.21,13.32,19,6.01,0
180,Sitangkai,PH,119.39,4.66,28.39,71,2.35,0
181,Puerto Penasco,MX,-113.53,31.32,22.22,88,1.79,82
182,Karratha,AU,116.85,-20.74,29.04,53,5.14,60
183,Kahului,US,-156.47,20.89,26.0,74,2.6,40
184,Fortuna,US,-124.16,40.6,10.56,93,1.48,90
185,Waingapu,ID,120.26,-9.65,28.79,67,3.39,0
186,Saint-Philippe,CA,-73.48,45.36,2.78,55,6.7,90
187,San Juan,AR,-68.53,-31.54,25.18,41,4.79,44
188,Chalus,IR,51.42,36.66,17.0,48,1.0,0
189,Guerrero Negro,MX,-114.04,27.97,20.78,68,5.1,99
190,Srednekolymsk,RU,153.71,67.46,-15.5,95,5.45,100
191,Narsaq,GL,-46.05,60.91,5.0,56,15.4,33
192,Rocky Mountain House,CA,-114.92,52.38,-9.96,93,1.87,100
193,Tahe,CN,124.71,52.34,-7.76,86,1.92,100
194,San Andres,PH,122.68,13.32,27.69,84,2.67,73
195,Tiznit,MA,-9.73,29.7,11.94,37,0.99,0
196,Hare Bay,CA,-53.99,48.86,-3.0,79,2.6,40
197,Dubuque,US,-90.66,42.5,3.33,86,1.5,40
198,Caravelas,BR,-39.27,-17.73,20.1,95,2.1,3
199,Kaitangata,NZ,169.85,-46.28,10.0,74,3.13,80
200,Tautira,PF,-149.15,-17.73,26.0,78,1.5,90
201,Naze,NG,7.07,5.43,23.0,100,5.1,75
202,Yelan,RU,43.74,50.95,3.33,94,0.45,76
203,Ormond Beach,US,-81.06,29.29,17.22,93,3.6,1
204,Sao Joao da Barra,BR,-41.05,-21.64,23.45,92,6.27,100
205,Langham,CA,-106.96,52.36,-13.0,78,2.1,90
206,Paracuru,BR,-39.03,-3.41,30.0,69,7.2,40
207,Okha,RU,142.95,53.59,-4.13,73,7.25,100
208,Weiser,US,-116.97,44.25,6.11,69,1.5,1
209,Conde,BR,-37.61,-11.81,25.89,78,7.42,10
210,Belaya Gora,RU,146.19,68.54,-21.74,97,2.22,92
211,Roald,NO,6.12,62.58,-1.0,74,6.2,40
212,Ambilobe,MG,49.05,-13.19,31.52,42,3.32,57
213,Jinka,ET,36.57,5.79,21.71,87,0.53,94
214,Gasa,BT,89.73,27.91,2.04,39,3.93,82
215,Longyearbyen,NO,15.63,78.22,-6.0,73,2.1,75
216,Mizan Teferi,ET,35.58,6.99,21.96,79,0.47,75
217,Esperance,AU,121.89,-33.86,27.0,39,10.3,34
218,Arak,IR,49.69,34.1,5.0,33,1.0,0
219,Constitucion,MX,-104.67,23.99,15.36,77,1.44,91
220,Pytalovo,RU,27.92,57.06,10.54,94,4.07,87
221,Oussouye,SN,-16.54,12.49,22.0,94,2.82,30
222,Kargasok,RU,80.87,59.06,-11.07,88,3.04,100
223,Bluefields,NI,-83.77,12.01,22.71,99,1.1,99
224,Qaanaaq,GL,-69.36,77.48,-20.62,39,2.51,0
225,Dunedin,NZ,170.5,-45.87,10.56,84,5.36,97
226,Wattegama,LK,80.68,7.35,30.18,59,1.1,96
227,Kalaleh,IR,55.49,37.38,17.0,42,0.51,0
228,Angoche,MZ,39.91,-16.23,29.93,63,3.12,85
229,Bodden Town,KY,-81.25,19.28,27.78,82,1.79,25
230,Mocuba,MZ,36.99,-16.84,30.1,58,2.05,38
231,Witu,KE,40.44,-2.39,29.0,74,3.76,75
232,Port Alfred,ZA,26.89,-33.59,18.33,94,3.13,100
233,Sidi Ali,DZ,0.42,36.1,14.28,78,5.95,100
234,Kangaatsiaq,GL,-53.46,68.31,2.84,51,12.99,57
235,Verkh-Usugli,RU,115.17,52.7,1.5,47,5.26,39
236,Cootamundra,AU,148.03,-34.64,20.56,43,1.79,73
237,Nouadhibou,MR,-17.03,20.93,18.0,68,12.3,100
238,Saint-Francois,FR,3.91,46.42,7.0,75,2.1,90
239,Cherskiy,RU,161.3,68.75,-18.88,93,0.71,7
240,Yellowknife,CA,-114.38,62.45,-15.0,77,4.1,75
241,Plettenberg Bay,ZA,23.37,-34.05,18.27,80,5.62,91
242,Mirebalais,HT,-72.1,18.83,25.0,94,1.0,18
243,Buchanan,LR,-10.05,5.88,24.0,100,1.15,75
244,Huarmey,PE,-78.15,-10.07,16.5,85,0.76,89
245,Arlit,NE,7.39,18.74,26.05,14,2.73,0
246,Logan Lake,CA,-120.81,50.49,6.0,93,1.0,90
247,Victoria,BN,115.24,5.28,31.0,70,1.5,75
248,Balanacan,PH,121.87,13.53,29.44,80,0.89,80
249,Baherden,TM,57.43,38.44,15.44,23,3.64,0
250,Bulanash,RU,62.0,57.28,-6.03,71,1.48,78
251,Yurimaguas,PE,-76.1,-5.9,22.93,93,1.4,45
252,Marsa Matruh,EG,27.25,31.35,17.0,55,2.68,86
253,Ponnani,IN,75.93,10.77,30.0,66,2.6,75
254,Kalabo,ZM,22.67,-15.0,26.48,42,2.25,100
255,Leshukonskoye,RU,45.76,64.9,-7.21,93,3.01,100
256,State College,US,-77.86,40.79,1.67,64,1.5,90
257,Srikakulam,IN,83.89,18.29,29.58,60,2.04,16
258,Vila Franca do Campo,PT,-25.43,37.72,14.0,82,3.6,20
259,Oroville,US,-121.56,39.51,15.0,47,1.7,1
260,Udachnyy,RU,112.4,66.42,-27.0,75,2.0,90
261,Nalut,LY,10.98,31.86,11.21,41,1.8,0
262,Pevek,RU,170.27,69.7,-14.2,67,1.2,0
263,Giyani,ZA,30.73,-23.32,20.18,79,1.84,98
264,Mount Isa,AU,139.49,-20.73,34.0,7,3.6,67
265,Thompson,CA,-97.86,55.74,-21.0,76,4.6,75
266,Media Luna,BO,-64.63,-21.67,12.78,95,3.01,99
267,Stonewall,CA,-97.33,50.13,-11.11,71,4.1,20
268,Kunfeherto,HU,19.41,46.36,10.56,93,3.1,90
269,Mayor Pablo Lagerenza,PY,-60.77,-19.93,23.63,78,2.69,93
270,Adrar,DZ,-0.29,27.87,7.0,42,3.6,0
271,Bereda,ES,-7.54,43.27,12.78,71,6.2,20
272,Hatta,IN,79.6,24.13,27.44,39,2.45,0
273,Catuday,PH,119.81,16.29,27.99,67,0.93,100
274,Westport,US,-73.36,41.14,5.0,59,3.1,1
275,Grindavik,IS,-22.43,63.84,6.0,87,11.3,75
276,Dalby,AU,151.26,-27.18,29.44,12,8.7,0
277,Port Blair,IN,92.75,11.67,27.87,71,1.51,22
